id,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,점포수
12496,2014,1,골목상권,신월로15길,중식음식점,38482438,2
12521,2014,1,골목상권,목동중앙남로3가길,제과점,303118138,1
12683,2014,1,골목상권,곰달래로3길,일반교습학원,19112628,2
12698,2014,1,골목상권,남부순환로40길,노래방,15600692,2
12716,2014,1,골목상권,목동중앙남로3가길,일반교습학원,631924056,10
12723,2014,1,골목상권,목동중앙남로3가길,스포츠클럽,97499150,2
12731,2014,1,골목상권,목동중앙본로7길,가전제품수리,39943070,3
12746,2014,1,골목상권,곰달래로3길,운동/경기용품,44822075,1
12761,2014,1,골목상권,남부순환로79길,의약품,7911921,5
12762,2014,1,전통시장,월정로시장,의약품,386480022,2
12775,2014,1,골목상권,목동중앙남로3가길,커피-음료,13683735,2
12898,2014,1,골목상권,곰달래로10길,슈퍼마켓,97499332,6
12983,2014,1,골목상권,목동동로12길,일식음식점,89452402,5
12987,2014,1,골목상권,곰달래로3길,네일숍,2178083,1
12988,2014,1,전통시장,신정제일시장,호프-간이주점,53546128,7
12990,2014,1,전통시장,신정제일시장,한의원,148335975,2
12991,2014,1,전통시장,신정제일시장,육류판매,174662722,2
12994,2014,1,전통시장,신정제일시장,시계및귀금속,12853252,1
12995,2014,1,골목상권,목동중앙서로8가길,제과점,23744653,1
12997,2014,1,골목상권,목동중앙서로8가길,노래방,51373996,6
12998,2014,1,골목상권,중앙로51길,안경,22191067,0
13004,2014,1,골목상권,신목로6길,핸드폰,47909571,2
13006,2014,1,골목상권,목동동로12길,회계사사무소,78232759,1
13286,2014,1,골목상권,화곡로4길,호프-간이주점,145648550,6
13315,2014,1,골목상권,목동로9길,치킨전문점,71678343,1
13344,2014,1,골목상권,남부순환로33길,문구,30625632,1
13376,2014,1,골목상권,남부순환로40길,호프-간이주점,130958106,9
13436,2014,1,골목상권,신월로20길,여관,78056322,2
13541,2014,1,골목상권,목동중앙남로3가길,자동차수리,456768229,4
13561,2014,1,골목상권,남부순환로40길,제과점,358035863,4
13568,2014,1,골목상권,남부순환로40길,당구장,9824019,2
13577,2014,1,골목상권,남부순환로40길,가전제품,72021921,1
13592,2014,1,골목상권,곰달래로3길,분식전문점,3061147,3
13691,2014,1,골목상권,목동로9길,제과점,208077054,2
13693,2014,1,골목상권,목동중앙서로7길,애완동물,17530266,1
13694,2014,1,골목상권,목동중앙서로8가길,자동차미용,4637676,1
13697,2014,1,골목상권,목동중앙서로8가길,서적,36363235,2
13698,2014,1,골목상권,중앙로55길,예술학원,28783683,3
13700,2014,1,골목상권,중앙로55길,핸드폰,7638451,2
13701,2014,1,전통시장,경창시장,분식전문점,71780023,4
13709,2014,1,골목상권,신목로2길,반찬가게,18000000,0
13797,2014,1,골목상권,목동중앙로3길,세탁소,2420273,2
13816,2014,1,골목상권,남부순환로88길,한의원,97542853,1
13832,2014,1,골목상권,남부순환로88길,반찬가게,21232098,1
