id,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,점포수
7495,2014,1,골목상권,도신로15길,섬유제품,2533954,1
7499,2014,1,골목상권,도신로15길,당구장,9234175,1
7530,2014,1,골목상권,양평로19길,당구장,25007477,4
7533,2014,1,골목상권,선유로55길,커피-음료,165989332,3
7548,2014,1,골목상권,양평로19길,미용실,4688868,1
7551,2014,1,골목상권,선유로55길,한의원,228740926,2
7556,2014,1,골목상권,선유로55길,편의점,239233947,3
7559,2014,1,골목상권,선유로55길,미곡판매,16780863,2
7563,2014,1,골목상권,선유로55길,문구,151245424,4
7566,2014,1,골목상권,양평로19길,인테리어,55562260,4
7572,2014,1,골목상권,선유로55길,철물점,13048303,3
7575,2014,1,골목상권,양평로19길,세무사사무소,130769027,22
7579,2014,1,골목상권,도신로62길,의약품,86788326,1
7582,2014,1,전통시장,영등포전통시장,당구장,11326096,3
7587,2014,1,전통시장,영등포전통시장,세탁소,50101228,3
7590,2014,1,골목상권,도신로62길,노래방,17731041,1
7594,2014,1,골목상권,도신로62길,사진관,37889920,1
7607,2014,1,골목상권,도신로60길,슈퍼마켓,5804847,4
7614,2014,1,전통시장,영등포전통시장,중식음식점,1315856992,20
7626,2014,1,전통시장,영등포전통시장,핸드폰,838037281,25
7629,2014,1,골목상권,도신로60길,화장품,269207774,6
7635,2014,1,골목상권,도신로60길,핸드폰,49989130,3
7638,2014,1,골목상권,도신로62길,자동차수리,15329874,1
7642,2014,1,전통시장,대신시장,미곡판매,18456418,3
7645,2014,1,전통시장,대신시장,육류판매,608118045,3
7650,2014,1,전통시장,대신시장,일반의류,159386172,17
7653,2014,1,골목상권,신길로42길,미용실,21671195,7
7657,2014,1,골목상권,도신로62길,커피-음료,2934611,1
7660,2014,1,골목상권,도신로60길,문구,13639238,2
7673,2014,1,골목상권,도신로60길,외국어학원,9669753,2
7685,2014,1,골목상권,가마산로61길,철물점,130984959,2
7688,2014,1,골목상권,가마산로61길,화장품,10610166,2
7692,2014,1,골목상권,가마산로61길,조명용품,9573560,2
7695,2014,1,골목상권,신길로42가길,여관,6304802,1
7701,2014,1,골목상권,신길로42가길,일반교습학원,48769580,2
7704,2014,1,골목상권,신길로42길,사진관,3973770,1
7755,2014,1,골목상권,대림로44길,일반의류,219545148,6
7758,2014,1,골목상권,대림로44길,자동차부품,237341368,3
7764,2014,1,골목상권,대림로44길,주유소,2896761240,4
